,公司名,公司领域,公司人数,学历,最低工资,最高工资,工作年限,岗位职责,岗位要求
296,北京开课吧科技有限公司,"移动互联网,教育","['500', '2000']",不限,25,50,"(5,10)","1、负责数据挖掘课程体系的设计、研发、优化；
2、负责数据挖掘课程项目、案例的研发与讲解；经过内部培训，能够按照在线课程产品特点进行直播授课工作；
3、优化现有课程并录制相关视频；
4、负责数据挖掘日常直播答疑授课等相关工作；
5、能够按照课程资料规范匹配课程对应的教辅资料；
4、负责完成领导安排的教学、课程相关的其它工作。
","1、计算机相关专业研究生以上学历；
2、主要从事数据挖掘,建模方向的工作；
3、熟悉常用的算法 , 包括但不限于回归，聚类，分类，Boosting，SVM，Random Forest，贝叶斯网络等
4、能够承受工作压力，具备独立解决问题的能力和优秀的团队合作精神;
5、有相关讲师授课经验或编程经验者优先考虑；
6、具有数据清洗经验，熟悉常用的数据清洗方法；参与过完整的数据采集、数据清洗、分析和建模工作者优先；
7、具备较好的逻辑分析能力，良好的沟通交流能力和文字语言表达能力；
8、希望进入教育行业长期发展，有传道授业解惑的使命感和责任感。"
297,厦门渊亭信息科技有限公司北京分公司,"数据服务,软件开发","['150', '500']",本科,30,50,"(3,5)",,
298,北京睿企信息科技有限公司,"移动互联网,信息安全","['50', '150']",硕士,20,30,"(1,3)",1、熟练使用至少一门编程语言（Python、Java、scala等）； 2、熟悉数据挖掘、数据分析、机器学习至少某一方面，有一定的理论研究和实践经验 ； 3、对数据敏感，熟悉常用数据挖掘算法，并有一定实,
299,厦门渊亭信息科技有限公司北京分公司,"数据服务,软件开发","['150', '500']",本科,30,50,"(3,5)",1.负责公司主产品功能模块的设计和研发；2.专注于前沿课题研究；3. 项目模型的输出（金融、国防等方向）；4，团队管理,1. 统招本科以上学历 ，计算机相关专业，4年以上AI相关工作经验2. 熟悉Java、Scala、Python其中之一； 3. 熟悉回归、决策树、聚类、分类、基于邻域/模型的推荐、矩阵分解等算法的实现细节，以及不同算法的优缺点； 4. 具有良好的沟通能力和协调能力，5人以上团队管理经验优先考虑 加分项
300,强联智创（北京）科技有限公司,医疗丨健康,"['50', '150']",硕士,25,50,"(0,0)","人工智能处理医疗图像算法模块的研究及开发
","1、计算机、电子工程及相关专业硕士及以上学历，在校成绩良好
2、有较强的英语听力和阅读能力，至少通过国家英语六级考试
3、有较强的自学和编程能力，团队协作及沟通能力良好
4、有机器学习、信号处理基础知识
5、立志于从事以深度学习为基础的医学图像研发工作
6、应届硕士/博士毕业生可实习
优先条件"
301,北京读我科技有限公司,移动互联网,"['500', '2000']",本科,20,40,"(0,1)","1、对业务海量数据进行处理和分析，能够从业务和产品的角度出发，发现和分析数据价值
2、根据用户行为建立画像，并进行精确的个性化推荐，画像预测


","1、本科以上学历，计算机、软件等相关专业毕业
2、热爱数据,对数据及逻辑关系敏感,并对数据体系有深入的认识
3、具备深厚数据建模(机器学习,数据挖掘,信息检索背景)和分析理论知识和经验
4、有对互联网业务理解与分析能力，对业务变化有洞察力
5、熟练使用java/python/go等开发语言中的一种
6、熟悉大数据解决方案包括Hadoop、Spark、Storm、Kafka等"
302,安讯达盛（北京）科技有限公司,移动互联网 医疗健康,"['15', '50']",硕士,15,30,"(1,3)","1、根据公司产品和业务需求，进行相关图像算法的研究和开发；
2、完成图像算法相关的需求调研与需求分析及设计；
3、医学影像（CT或MRI）的阅片及医学影像三维重建报告的编写。
4、算法和模型产品化开发，参与医疗AI产品落地实施工作。
","1、硕士以上学历，数学，计算机，医疗等相关专业，2年以上工作经验
2、掌握常规的图像处理技术和算法，包括图像前景提取方法、图像分割模型（基于变分的轮廓模型或者基于随机场的图像分割模型等）等。
3、掌握基于深度卷积神经网络的图像语义分割和图像目标检测算法，且有实际项目经验（数据集的整理制作、模型的设计、训练、部署等）。
4、掌握一门或多门编程语言，python或C++，包括一些常用深度学习和图像算法库的熟练使用。"
303,交叉科技（北京）有限公司,"区块链,人工智能","['15', '50']",本科,20,35,"(1,3)",,
304,北京欧非科技有限公司,电商,"['500', '2000']",不限,25,45,"(3,5)",,"1. 计算机、统计学、数学、自动化等相关专业本科及以上学历，1年工作经验。2. 掌握NLP、关系网络、知识图谱等技术原理，实际运用相关算法技术完成过数据挖掘任务。3. 熟练使用MySQL、Hive，熟悉常用的数据结构，熟练掌握Python、Scala、R等一种或多种建模分析语言；有大数据分布式处理经验，熟练使用Hadoop、Spark等；有良好的逻辑思维能力、业务理解能力和数据敏感度，能够从海量数据中发现并提取关键特征。4. 对常用的机器学习算法原理理解透彻，如LR、XGBoost、LightGBM等，有调参经验。5. 熟悉深度学习、以及主流的深度学习框架caffe,tensorFlow等框架5. 具有良好的主动性、自驱力、沟通能力、团队合作精神和项目管理能力，优秀的分析问题和解决问题的能力；对解决具有挑战性问题充满激情，且抗压能力强加分项"
305,北京金山办公软件股份有限公司,移动互联网,['2000'],本科,20,40,"(3,5)","负责稻壳，会员增值功能等数据挖掘工作

【职位描述】
1.对产品用户行为数据的分析挖掘，协助构建用户数据模型，研究互联网产品，用户变化，用以支持各项决策。
2. 因项目研发需要而赋予的其他工作职责。


【任职资格】
1、具备扎实的数学和计算机科学功底，以及坚实的数据挖掘和机器学习理论基础
2、具有扎实的数据结构和算法功底，掌握C/C++/Java/Python等至少一门高级编程语言
3、具备良好的逻辑分析能力和解决实际问题的能力
4、3年以上数据挖掘工",
