,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
162,深圳瑞银信信息技术有限公司,北京,2000人以上,"移动互联网,金融",数据分析师,2020-04-03 15:39:34,10k-15k,1-3年,本科,1. 研究现有业务和客群，针对业务需求建立数据分析模型，为业务团队提供数据分析及业务诊断建议，撰写分析报告，分析范围包括市场、运营及风险，并不断优化结果；2. 通过对数据的分析不断提取业务特征变量，从数据层面帮助业务团队加深对客户、产品、风险的认识；3. 通过日常数据分析和深入专项分析，及时预警潜在风险或提示潜在业务机会 ,"1.本科及以上,金融、数学、统计学、计算机等相关专业;2. 熟悉统计分析和数据挖掘，具备熟练的Excel技能，熟悉R/SQL； 同时具备python等其他语言编程能力优先；3.具有较强的逻辑思维能力和数据敏感度，可以独立进行数据分析并出具报告；4.对消费金融和互联网金融有一定认识优先；5. 好奇、勤奋、乐观，终身学习者，对数据分析充满热情。"
163,北京字节跳动科技有限公司,北京,2000人以上,文娱丨内容,商业化资深数据分析师,2020-04-05 17:03:59,8k-16k,3-5年,本科,"1、负责运营业务的数据管理、业务分析工作，对各类分析任务中发现的问题，进行跟踪
、定位、分析工作；
2、根据公司政策和业务发展趋势，定期做销售分析，从代理商纬度、产品纬度、行业纬
度、客户纬度对整体的业务进行分析，及时发现问题进行预警，并提出解决办法；
3、对部门现有业务数据进行梳理汇总和跟踪监控，建立日常跟踪监控体系，及时敏锐的
发现业务数据变化趋势；
4、对运营中存在的问题点、困难点，给出数据支持、分析报告建议、问题解决方案；对
重要节点或特殊节点业务消耗的变化进行专门的研究并形成分析报告；
5、构建各种分析和预测模型，通过跟踪和监控重点数据, 发现潜在的缺陷与机会,为业务决
策提供数据支撑。

","1、本科学历以上，3年以上电商或互联网数据分析经验，数据化运营经验，互联网广告等
相关经验优先；
2、良好的数据敏感度，能从海量数据中提炼核心结果，有丰富的数据挖掘，信息采集整
理，分析能力；
3、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；
4、精通Excel和PPT，熟练使用SQL和tableau或其它数据分析工具优先；
5、有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目，有较强的逻辑
思维能力及抗压能力。"
164,北京字节跳动科技有限公司,北京,2000人以上,文娱丨内容,游戏战略-数据分析师/数据分析专家,2020-04-05 19:19:15,20k-40k,3-5年,本科,"1、输出数据洞察，驱动业务战略和经营决策；
2、设计游戏业务数据分析体系，提升经营管理效率和效果；
3、搭建并管理经营分析报表体系，监测整体业务表现；
4、分析业务痛点，开发数据分析/产品原型，指导数据平台建设；
5、制定业务数字化战略规划，构建数据驱动的管理决策机制。
","1、精通数据分析相关工具，包括但不限于SQL, Python/R, Tableau等；
2、优秀的逻辑思维和沟通能力，能够把数据洞察“翻译”为业务语言；
3、有咨询公司/大型互联网和科技公司数据分析经验优先；
4、本科及以上学历，3年以上数据分析相关经验；
5、热爱游戏，玩过多种类型的手机游戏。"
165,北京孔网时代科技有限公司,北京,50-150人,电商,大数据开发工程师,2020-04-04 15:27:36,20k-40k,3-5年,本科,,
166,阳光保险集团股份有限公司,北京,2000人以上,金融,数据分析师,2020-04-03 15:58:19,15k-25k,3-5年,本科,,
167,南京蓝鲸人网络科技有限公司,北京,50-150人,"移动互联网,社交",数据分析师,2020-04-03 16:05:33,10k-20k,1-3年,不限,,
168,玖富数科科技集团有限责任公司,北京,2000人以上,金融,数据分析师,2020-04-03 16:04:43,20k-40k,3-5年,本科,"1、 快速理解业务的定位、完成指定的目标和业务需求；
2、 熟悉数据分析指标的建设；3、 根据分析需求，完成相关数据抽取、数据清洗、数据探索、数据建模分析等工作；4、 按要求完成数据分析报告、建模报告、数据报表等。
5、 熟悉数据仓库，能按需求准确、及时的提取符合要求的数据； ","1、 至少2年互联网数据分析经验，应用数学、统计学、经济学、计算机等相关专业，互金领域数据分析经验优先；2、有良好的数据敏感度，能够及时发现数据异常，并分析数据异常的原因；3、了解回归、分类、聚类等；4、有较强的团队沟通、协调能力, 强自驱力；
5、熟练操作数据提取、处理、分析及可视化软件，如SQL/Hql、Excel、SPSS、tableau等；6、熟悉使用R/Python/SAS等分析工具优先;
7、了解电销与客服、活动业务人员优先，拥有020行业优先；
8、负责完成对各部门的绩效执行过程追踪、分析、评估等相关工作；
9、负责业务的日常的经营分析，日报，月报反馈。"
169,北京能量盒科技有限公司上海分公司,北京,500-2000人,游戏,数据分析师,2020-04-03 15:58:17,30k-40k,3-5年,硕士,"1、负责游戏活动数据分析以及深入挖掘，并通过数据分析对游戏运营提供数据支撑，达成任务目标，不断提升活动效果，实现精细化运营目的；
2、通过数据研究和数据建模来优化产品运营业务，如盈利模型、用户体验模型，收入预测、流失预测，用户分类等；
3、通过分析游戏产品及运营数据，对于游戏的玩法、数值和其他方面的优化提供可执行的优化建议；
4、通过分析游戏玩家行为数据来定位游戏运营中的业务问题，同时输出相应的分析报告。

","1、本科以上学历，4年以上数据分析经验，统计学专业优先；
2、热爱游戏行业，对市场/运营至少一类工作有深入理解和成功数据应用经验；
3、熟练使用SQL语句、EXCEL，掌握SPSS、SAS等其中一种分析工具；
4、具有一定的数据挖掘、建模、预测能力；可独立对游戏进行深入挖掘；
5、良好的沟通能力、文档表达能力。"
170,北京中经惠众科技有限公司,北京,50-150人,"金融,企业服务",资深数据分析师,2020-04-01 18:41:42,18k-35k,5-10年,本科,"1. 业务分析，指标拆解，基于大数据或者知识图谱平台进行银行或者监管业务建模；
2. 新业务的数据规范制定；
3.行业数据治理和数据标准；
4. 数据挖掘分析工作。将数据和业务深度融合，挖掘价值，从应用出发不断倒逼数据质量；
5.软件需求提出；

","1.有5年以上银行或者保险数据开发经验，熟悉业务和底层数据；
2.本科及以上学历；
3.学习能力强，愿意专精业务，沟通能力强，能很好与监管部门和金融机构交流；
4.对数据敏感；
5.或了解银行监管各主题（1104、EAST等）、保险监管各主体（偿二代）、熟悉人民银行（全科目、反洗钱、征信）等之一；或了解银行网金、个金、对公、风控、审计等业务；
6.能熟练运用SQL等工具查询和提取数据；能使用python更优；
7.有基本IT思维；
8.能独当一面，主动分析数据内在逻辑和联系；"
171,广州欢网科技有限责任公司,北京,150-500人,硬件,数据分析师,2020-04-04 00:35:14,15k-20k,5-10年,大专,,
