,公司名,公司领域,招聘岗位,薪资,公司位置,学历,工作年限,发布时间,岗位职责,岗位要求,公司人数
262,TalkingData,互联网/移动互联网/电子商务,数据分析PM(J10329),['15-25k·12薪'],['北京'],['本科及以上'],['5年以上'],2020年04月03日,1.	负责数据合作项目的项目管理工作，协调公司内部资源和外部合作伙伴资源，实现数据合作，提升数据价值；2.	在项目实施过程中作为对接人与合作伙伴沟通，控制合作的进度及风险；3.	对公司内外部数据进行挖掘，在深入理解用户行为、产品特点的基础上，自主发掘课题，提出建议；4.	深入理解内、外部数据源，通过数据分析，制定数据合作方案，数据质量测试方案，数据合作运营方案等，跟进数据处理与分析的整个流程落地；5.	根据数据分析结果，撰写数据分析报告，展示数据质量情况及数据能力情况；6.	以定性及定量方法解决产品、运营中的数据问题；,1.	具有业务洞察能力、数字敏感性与逻辑思维能力、快速学习能力，对移动数据有较深入理解的优先；2.	有3年及以上互联网相关数据分析经验，负责过一个或以上大中型项目管理工作； 3.	计算机、数学、统计学等相关专业本科以上学历，5年及以上工作经验；4.	熟练使用SQL，Python或R等分析工具和办公软件，熟悉Hadoop/Spark/Hive/Storm等分布式计算架构;5.	2年以上项目管理经验，有PMP证书优先；,"['500', '999']"
263,京东商城,互联网/移动互联网/电子商务,数据分析,['面议'],['北京-大兴区'],['本科及以上'],['1年以上'],2020年04月03日,1、结合业务特点，挖掘业务需求及痛点，通过数据给业务提供策略支持；2、结合京东数据架构及特点，规划事业部数据服务生态，对业务进行抽象化与结构化，进行体系构建与结构建模；3、参与事业部内重点项目，在项目中对相关内容从数据角度进行论证与支持；4、数据流程及服务中自动化工具的构建；5、利用SQL等工具业务数据的提取支持工作。,1、熟练使用SQL等，有数据分析能力者优先；2、本科及以上学历，有3C类服务运营管理经验者优先；3、有较高的沟通及谈判能力；4、擅长流程制度及规则的搭建,['10000']
264,阳光保险集团,保险,数据分析师,['面议'],['北京'],['统招本科'],['经验不限'],2020年04月03日,1.根据业务需求，设计数据监测方案；2.测试&amp;校验数据监测方案部署的完整性&amp;准确性；3.收集&amp;统计数据并基于业务需求及自身对业务的理解，进行该业务的数据报表、报告设计&amp;建设，做好日常数据监控及问题分析；4.基于数据分析&amp;挖掘，形成业务洞察，探索并实践验证优化和增长点。,"1、本科及以上学历, 数学/统计学/计算机/经济学/信息管理等相关专业；2、熟练使用SQL，Excel，PPT，熟练掌握SPSS/R/Python等更佳；3、具备较好的逻辑思维和数据思维能力, 对数据和业务有足够的敏感性；4、良好的沟通,理解, 表达, 团队协作、抗压能力；5、有互联网或电商行业经验优先。",['10000']
265,新东方迅程,教育/培训/学术/科研/院校,增长数据分析 (MJ000369),['12-18k·14薪'],['北京-中关村'],['本科及以上'],['经验不限'],2020年04月03日,1、负责广告数据分析相关工作，通过数据监控、预警、分析、挖掘工作，为投放调优提供数据支持；2、定期对投放渠道，投放素材进行分析，甄别流量质量，发现潜在问题，挖掘产品潜力，提出合理执行建议；3、开展专题式深度研究，分析建模、数据检验、产出分析报告，指导产品调优、运营策略制定；4、参与数据产品建设，后台搭建等。,1、本科以上学历，数学专业、统计学相关专业优先；2、三年以上工作经验，良好的统计分析基础，数理逻辑清晰，较高的数据敏感性，对AB测试理论熟悉，使用过常用的机器学习、数据挖掘算法，有数据分析师工作背景优先；3、熟悉游戏业务指标使用方法及场景，能够独立完成游戏业务分析；4、熟悉SQL、Python等数据分析基本语言，熟悉Excel、Tableau、Superset等主流数据分析和图标可视化工具；5、具有一定的数据挖掘、建模、预测能力；6、良好的沟通能力、文档表达能力、部门协作能力；8、出色的学习能力，能够快速融入业务；,"['2000', '5000']"
266,工业富联,计算机软件,数据分析工程师 3010091,['8-23k·13薪'],['北京'],['本科及以上'],['2年以上'],2020年04月03日,1.负责执行开发数据应用产品功能 ;2.开发数据应用算法及使用分析工具完成数据分析任务        3.完成数据管理策略及需求文文件，包含数据质量，数据目录，元数据管理产品开发             4. 负责新技术、新展现形式调研；解决项目开发中的技术难题及算法性能优化。,本科毕业，计算机相关专业专业技能,['10000']
267,工业富联,计算机软件,数据分析高级工程师 3010092,['15-27k·13薪'],['北京'],['本科及以上'],['8年以上'],2020年04月03日,1.负责开发数据应用产品规划；2.负责研究数据分析算法，精进算法性能，提取业务价值，并提供产品化的建议 ；3.负责规划分析运维化策略，分析流程自动化及SaaS化规划       ；4.负责执行数据管理策略应用开发，包含数据质量，数据目录，元数据管理产品开发策略及目标       ；       5.数据应用部级目标设定，人员管理，归纳案例及实现经验共享；,本科毕业，计算机相关专业专业技能,['10000']
268,京东商城,互联网/移动互联网/电子商务,用户与数据分析,['面议'],['北京-大兴区'],['统招本科'],['1年以上'],2020年04月03日,1.	对手机行业研究和趋势分析，对数据进行整合、分析处理，梳理数据价值2.	对京东大数据进行研究，挖掘手机产品机会，为产品规划输入信息；3.	对手机品类的用户人群划分、画像分析，利用人群特征提取用户痛点和喜好,1、大学本科以上，统计学、计算机、社会学相关专业；2、有大数据公司或市场调研公司工作经历者3、精通PPT，excel和SPSS工具，精python，SQL等大数据工具者优先,['10000']
269,首创钜大有限公司,商业地产,数据分析专业经理,['面议'],['北京'],['统招本科'],['5年以上'],2020年04月03日,1、完成月度/季度/年度经营包的编制2、定期跟踪已开业项目年度销售指标完成情况，及时对偏差较大的项目提出预警3、行业数据的收集、整理与分析，定期发布,1、3年以上数据分析工作经验，具有互联网、商业零售等数据分析经历者优先2、具有较强的分析能力、逻辑思维能力；对数据敏感，具备优秀的信息整合和分析能力3、学习能力强，能根据工作需要，解决分析过程中遇到的问题，快速学习相应的分析方法，数据应用和简单的开发工具4、熟练掌握Excel、Python等分析工具及数据库应用等。,"['500', '999']"
270,北京威克多制衣中心,服装服饰/纺织/皮革,数据分析主管,['8-15k·12薪'],['北京-大兴区'],['大专及以上'],['3年以上'],2020年04月03日,1、运营数据进行分析和深度挖掘；2、有效监控，及时发现数据问题，与营运进行沟通，实时反馈推广效果，从而提升业绩；3、数据分析方式优化，对店铺运营提出创新性的分析观点；4、负责全国常规运营数据分析，从系统提取数据为业务部门提供数据分析报告；5、协助领导进行深入数据分析，产出深层次数据分析报告，为高层领导数据化决策提供数据支持；6、数据分析报表的优化，实行常规报表自动化，提高工作效率。7、服装行,,"['2000', '5000']"
271,北京美住必成科技有限公司,O2O服务,数据分析师,['10-20k·12薪'],['北京-朝阳区'],['本科及以上'],['3年以上'],2020年04月03日,1、深入熟悉酒店业务，建立核心指标运营监测体系和预警体系；2、分析用户行为和商户特征，善于归纳、并进行数据分析和挖掘价值 ，输出数据报告；3、深入理解业务方向和战略，建立数据模型，提供决策支持；4、梳理数据需求，并进行相关数据规划，推动技术实现报表及分析的自动化。,1、统计学、数学、计算机等相关专业本科及以上学历；2、熟悉SQL语言，熟练操作Excel，熟悉数据分析方法； 3、热爱互联网工作，三年以上数据分析经验，有O2O或酒店相关经验者优先；4、良好的学习与抗压能力，能自我驱动，有强烈的责任感。,"['1000', '2000']"
272,医药魔方,电子商务,医学数据分析师,['面议'],['北京-朝阳区'],['统招本科'],['1年以上'],2020年04月03日,1. 负责中外最新的临床医学数据的收集、整理和结构化；2. 参与临床相关产品设计、开发与维护；3. 根据药企和医生的需求，分析并输出医学信息；4. 参与其他与临床医学有关的数据处理；,1. 能快速阅读并理解医学论文与指南，医学基础知识扎实，学习理解能力和分析能力强；2. 临床医学相关专业本科学历及以上；3. 有医学翻译或医学数据处理工作经验者优先；4. 工作认真，执行力强，团队协作和沟通表达能力佳。,"['50', '99']"
273,医药魔方,电子商务,数据分析师-数据挖掘方向,['面议'],['北京-望京'],['统招本科'],['1年以上'],2020年04月03日,,,"['50', '99']"
274,医药魔方,电子商务,数据分析师,['面议'],['北京-望京'],['本科及以上'],['2年以上'],2020年04月03日,1. 定期对行业数据进行监测、分析以及行业趋势研究，形成行业分析报告，支持公司各项业务的开展。2. 协助完善数据产品、业务分析模型，协调产品技术团队完成数据分析模型。3. 针对某一课题进行专项深度分析，熟练使用数据可视化工具实现分析成果展示。 ,1、 本科以及上学历，数学／统计学／市场营销 / 药学相关专业。2、 2年以上工作经验，有互联网医疗／制药公司 / 市场调研 / 咨询公司背景优先。3、具备业务分析理解能力，有比较丰富的BI工具界面开发经验，能引导客户进行BI报表设计。4、 工具使用,"['50', '99']"
275,中视购物,百货/批发/零售,数据分析,['6-10k·12薪'],['北京'],['本科及以上'],['1年以上'],2020年04月03日,1、依据公司开发策略以及整体业绩要求，在合理编排的基础上实现公司业绩的最大化；2、依据定位及受众人群的市场需求，制定整体编排策略及内容结构；3、根据节目编排框架及节目需求，与商品部制定整体开发规划；4、频道日常内容编排，与相关业务确定相关流程，保证高质量播出；5、在合理编排的基础上实现公司业绩的最大化；6、为相关业务部门提供日常数据支持。,1、本科以上学历，统计、数学、经济学等专业优先；2、熟练运用各种办公、统计分析软件；3、具备较好的项目管理及统筹安排能力，沟通能力；4、能够根据运营需求及受众需求，制定科学的节目编排体系。,"['500', '999']"
276,彩虹无线,互联网/移动互联网/电子商务,数据挖掘工程师/数据分析师,['20-30k·12薪'],['北京-百子湾'],['本科及以上'],['3年以上'],2020年04月03日,1.带领团队理解车联网数据分析业务需求，运用统计建模，数据挖掘，机器学习方法解决实际问题；2.带领团队利用车联网数据的挖掘，通过用户标签体系构建及模型构建，面向车辆的安全性评估，驾驶行为风险评估等应用提供模型及算法支撑3.带领团队负责模型的开发，评估，部署，监控优化工作；4.带领团队负责深入业务，利用对数据的理解支撑各个业务部门的数据决策任职要求/key sk,1.具有统计学，计算机，数学相关专业背景，掌握扎实的统计学，数据挖掘，机器学习理论基础； 2-3年工作经验2.具备工程开发能力，熟练掌握python/R编程语言3.具有数据挖掘，机器学习相关项目经验4.自我驱动能力，对新技术有强烈求知欲和学习能力5.良好的英语听说读写能力，良好的团队沟通合作能力具备以下条件优先1.参加过kaggle或类似比赛并获得不错名次2.在有影响力的会议或期刊发表过数据挖掘，机器学习相关论文3.有车联网数据挖掘，自动化风控，征信，互联网金融相关经验4.参与过商业化的模型（分类器，推荐系统，NLP模型等）落地项目,"['100', '499']"
277,致维科技(北京)有限公司,互联网/移动互联网/电子商务,数据分析,['8-15k·12薪'],['北京'],['大专及以上'],['1年以上'],2020年04月03日,,,"['100', '499']"
278,TalkingData,互联网/移动互联网/电子商务,高级数据分析师(J10309),['15-25k·12薪'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1.	负责金融领域的大数据应用，利用机器学习建立金融行业数据模型，包括特征工程、数据建模、模型测试评估及模型应用等工作；2.	建立高价值客户挖掘模型、产品推荐模型、RFM模型、流失预测等业务模型，基于模型结果提升客户业务价值；3.	根据一方和三方数据源，对数据进行甄别、清洗和整合；,1.	本科及以上学历，具有统计、数学、计算机类专业背景，有金融行业建模经验优先；2.	熟悉Python/R/SAS，至少3年以上数据挖掘工作经验，至少亲身完成一个中大型建模项目；3.	熟悉各类机器学习算法，包括分类、逻辑回归、XGBoot、随机森林等，精通有监督式学习，无监督式学习，并使用最优化理论提升模型性能；4.	自我驱动能力很强，积极学习能力较强，善于沟通，团队协作能力优秀；5.	对银行业务特别是零售银行、风控业务了解优先,"['500', '999']"
279,车好多集团,O2O服务,业务数据分析专家,['面议'],['北京'],['统招本科'],['5年以上'],2020年04月03日,1. 对接业务线，梳理需求，获取数据，分析数据，诊断问题，提出建议；2. 开发、维护日常数据报表，按需编写专题分析报告；3.与相关团队协作进行数据建模工作，推动业务数据化运营。 ,1. 统计学、数学、计算机相关专业的本科及以上学历，3年以上数据分析相关工作经验；2. 有数据运营、经营分析等经验，互联网工作背景优先；3. 对数据敏感，能够快速发现数据变化和隐藏问题。4. 熟练SQL，能够独立撰写分析报告。,['10000']
280,贝壳找房(北京)科技有限公司,O2O服务,数据分析经理,['面议'],['北京'],['本科及以上'],['5年以上'],2020年04月03日,1、能够基于研究课题，有效提炼数据需求并完成数据采集、整理与入库；2、根据课题需求，通过数据提炼分析观点，撰写数据分析与可视化报告；3、带领团队探索新思路、新技术，不断提升团队数据分析能力。,1、具有深厚的数学、统计学功底和计算机相关知识，能够熟练使用SQL、R\Python、tableau等数据查询、统计分析和可视化工具，有数据抓取经验的优先；2、有极强的复杂问题的解决能力，能独立完成数据分析报告。,"['1000', '2000']"
281,贝壳找房(北京)科技有限公司,O2O服务,资深数据分析师,['面议'],['北京-上地'],['本科及以上'],['5年以上'],2020年04月03日,"1. 统筹市场部整体数据，搭建数据分析体系，为公司制定和提升数据应用的价值；2. 对业务效率提升提供数据支持，并推进相关数据平台化建设;3. 针对业务给出合理KPI建议，建立良好的监控和沟通机制;4. 带领团队提炼业务发展中的核心问题，建立分析模型，通过数据论证解决方案或可行性，为决策提供依据;5.提出和推动研究性项目，基于对业务的深度理解,通过数据挖掘与分析,针对公司关键指标以及运营各业务线输出专项分析报告,及时发现问题,为运营决策、用户营销等提供决策支持和优化方向6. 结合公司战略方向，洞察发展机遇并提出建议，确保能传达给业务负责人或高层，并积极推动落地;7. 数据贴近业务，与产品、运营、开发团队紧密配合，积极开展跨部门合作沟通。8.数据分析团队的搭建和培养",1. 计算机、数学或统计学专业学士及以上学历；2. 五年以上数据分析工作经验，三年以上团队管理经验；3. 良好的数据敏感度，有丰富的数据处理、分析经验；4.有自驱力和好奇心，对用户数据有敏锐的数据洞察力；5.关注业务，对业务有理解力，善于通过数据分析赋能业务；6.良好的沟通协作能力，具有较强的分享意愿。7.了解和熟悉市场部数据者优先,"['1000', '2000']"
282,易视腾科技股份有限公司,社交网络,数据分析师,['15-25k·12薪'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1、本科学历、统计学、数学、计算机相关专业背景，数据分析领域3年以上工作经验；2、熟悉常见的分析方法论，例如用户分群、多维分析、行为序列等；3、熟悉常用数据分析工具，；4、熟悉Linux系统及数据库常规处理命令；5、有较强的逻辑思维和分析能力，沟通、协调能力。,,"['500', '999']"
283,泰康在线财产保险股份有限公司,互联网/移动互联网/电子商务,数据分析岗,['面议'],['北京-昌平区'],['统招本科'],['1年以上'],2020年04月03日,（请逐条填写详细描述）1.本科及以上学历，数学、统计学、软件工程，计算机及相关专业2.具备1-3年的数据处理相关工作经验或有数据分析实习经历的应届毕业生3.熟练运用excel，熟悉保险行业，具有业务数据分,,"['500', '999']"
284,京东商城,互联网/移动互联网/电子商务,数据分析师,['面议'],['北京-大兴区'],['统招本科'],['3年以上'],2020年04月03日,1、 协同业务高管搭建和完善业务报表体系，优化报表展示，推动内部数据报表自动化和体系化。2、 负责撰写月度、季度、年度经营分析报告，给予有落地效果的合理化建议。3、 搭建标准化业务关键指标追踪模型，参与制定机构全年的业务目标，持续监控达成情况。4、 能快速积累并了解一线业务，通过数据分析工具，加强对业务分析的深度和广度。,1、 大学本科及以上学历，金融、数学、统计学等相关专业优先，3年以上数据分析相关从业经验，了解零售、电商行业运作基本模式。2、 具有快速学习和思考能力，能提炼业务模型的核心盈利要素。3、 精通 EXCEL、PPT，能使用SQL数据库软件者优先。4、 责任心强，具备沟通协调和闭环管理、推进能力。,['10000']
285,京东商城,互联网/移动互联网/电子商务,数据分析高级经理,['面议'],['北京-大兴区'],['统招本科'],['5年以上'],2020年04月03日,1. 针对产品运营链条的各类关键数据，建立完整的数据分析体系，通过数据分析驱动业务优化迭代；2. 深入理解业务、产品、用户和场景，通过数据分析洞察业务关联，全面梳理产品运营体系；3. 带领团队完成各项数据报表自动化或数据取数的需求及各个维度的经营分析；4. 根据各类数据结果，并根据业务需求，提出运营或产品建议，运用数据分析为公司各部门提供有指导性的战略方案；；5. 独立完成其他运营数据分析、数据建模等各类数据产品。,1. 本科以上学历，5年以上数据分析或数据运营经验，3年以上管理经验；2.掌握Hive或SQL，精通Excel，了解tableau对数据敏感并有很强的洞察能力，快速从繁杂数据中发现问题；3. 极强的业务学习能力，能够把数据和业务紧密联系；4. 优秀的协调和沟通能力，能够推动数据和运营方案实施；,['10000']
286,广州数说故事信息科技有限公司,互联网/移动互联网/电子商务,数据分析经理,['18-25k·13薪'],['北京-国贸'],['本科及以上'],['5年以上'],2020年04月03日,企业网络舆情、品牌网络口碑、消费者洞察、社会化运营数据、产品体验和创新等；2、根据商业背景和相关行业背景，搭建清晰的研究框架，设计研究方案，将客户需求落地；3、基于多维大数据以及不同数据特点，使用公司自有大数据分析工具，洞悉数据背后的信息，满足客户的分析需求；结合自身和团队的研究经验，基于数据洞察结果提出合理的解决方案和意见，提升数据价值；4、承担分析报告撰写的主笔工作。,1、本科以上学历；2、有5年以上的咨询公司、广告/公关公司或大型企业市场研究或用户研究部门工作背景；3、对制造、快消、互联网、零售等行业及商业模式有一定的了解，对数据有较高的敏锐性；4、具备数据操作能力，熟练使用excel，熟练使用SPSS等至少一种统计软件；5、具备独立完成PPT制作，报告撰写能力；6、良好的沟通与表达能力，能与客户对接需求。,"['100', '499']"
287,谱尼测试科技,检测/认证,经营数据分析,['15-30k·12薪'],['北京-海淀区'],['大专及以上'],['5年以上'],2020年04月03日,,1、运用数据分析工具对业务数据进行分析和研究，为运营及销售提供运营数据和报表，并对内容建设提供指导性意见；2、日常数据监控，跟踪并处理异常数据，并推动问题解的解决；3、日常报表输出（包括日报、周报、月报），建立规范的数据分析报表；4、负责分析各类数据并针对各类问题提出解决方案；5、对专业的数据分析及做好竞争对手数据的采集、统计、评估与分析；6、完成上级交代的其他相关任务。任职要求,"['1000', '2000']"
288,北京金风科创风电设备有限公司,新能源,质量管理中心-数据分析主任工程师(J14713),['面议'],['北京'],['本科及以上'],['5年以上'],2020年04月03日,"1、分析风机核心部件的设计、制造、运行数据，分析其失效规律。2、分析风机现场运维数据，基于海量数据，创新开发各种算法，进行数据建模工作，编写相应的报告，为降低项目成本提供科学依据。3、机组风险预警、风险评估与失效预测模型开发，数据分析建模参数调优、验证与测试、评估上线与推广。  4、构建全面的、准确的、能反映服务业务线特征的整体数据指标体系, 并基于业务监控指标体系，及时发现与定位业务问题。5、对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持。",1、统计类、数据分析或或电气相关专业，计算机相关专业本科以上学历；2、 数据分析5年以上经验或者风电控制策略分析5年以上经验；3、 有建立风机数据建模的项目经验；4、熟练使用一种或几种分析统计及数据挖掘工具，如Python、R、MATLAB等。5、熟悉机器学习、数据建模、数据挖掘至少一方面，有一定的理论研究和实践经验。6、对数据敏感，熟悉常用的数据挖掘算法，如决策树、支持向量机、神经网络等。7、有风电行业数据建模经验者优先。,"['1000', '2000']"
289,川北真空科技(北京)有限公司,机械制造/机电/重工,数据分析工程师,['6-9k·12薪'],['北京'],['本科及以上'],['经验不限'],2020年04月03日,1、 通过对供应链的业务需求理解及问题分析，从数据分析角度设计解决方案及决策支持策略；2、 依据业务需求，设计运营监测预警、评价指标体系；3、 独立完成数据提取、数据预处理、数据建模及数据分析报告的撰写；4、 参与BI系统设计、规划，构建业务数据模型。,1、 本科及以上学历，数学、统计学、计量经济学或计算机专业方向；2、 从事数据分析工作两年以上，有独立完成需求分析、数据建模及结果应用展示、汇报经历；3、 熟悉常用分析挖掘模型，如回归分析、聚类分析、关联分析、决策树、时间序列及最优化规划的原理及应用场景。深刻理解分布统计及概率相关概念；4、 精通excel，熟练使用SAS、R数据分析语言及SQL数据库查询语言，能够完成从数据采集到数据建模的自动化处理；5、 有良好的逻辑思维能力和沟通表达能力，工作认真、严谨，善于归纳、总结、分析；6、 有制造业公司相关数学建模分析经验者优先；7、有成本分析管理、供应商管理、最优化模型方面建模经验的优先。,"['100', '499']"
290,车好多集团,O2O服务,业务数据分析10418,['面议'],['北京'],['本科及以上'],['5年以上'],2020年04月03日,1.   对接业务线需求，对需求进行梳理，对业务问题进行深度诊断性组合分析、挖掘、深度分析，并给出建议；2.   沉淀分析思路与框架，提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地 ；3.   与相关团队协作进行数据建模工作，推动业务部门的数据化运营 。,1.   统计、数学、社会学、心里学专业本科及以上学历， 3~5年相关工作经验 ；2.   有数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网和咨询公司相关的优先；3.   有较强的逻辑推理能力，善于从商业角度解读数据；4.   熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；5.   熟练运用SQL，熟练运用EXCEL、R语言/python等数据工具、熟练使用PPT，有很强的PPT功底的优先；6.   善于沟通和交流，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目。,['10000']
291,天创信用服务有限公司,互联网/移动互联网/电子商务,数据分析师（数据产品开发与建模）,['15-30k·12薪'],['北京-朝阳区'],['本科及以上'],['3年以上'],2020年04月03日,1.对数据进行清洗，整理，分析与挖掘。2.针对不同业务场景打造风控数据产品。3.构造特征变量，建立各种风险计量模型。4.开发用于风险分析，模型构建的相关工具。5.参与数据仓库的架构设计，最大程度挖掘数据价值。,1.全日制数学，统计，计算机，经济，金融等相关专业。2.能够熟练运用R/Python中的至少一个，熟练运用excel/ppt，能够编写较为简单的sql语句。3.对数据敏感，具备较强的学习能力，沟通能力，逻辑分析能力。4.有金融行业数据分析经验，熟练掌握多种机器学习算法原理，或具备丰富的模型构建经验优先。,"['100', '499']"
292,中建材信息技术股份有限公司,IT服务/系统集成,数据分析专员,['8-12k·12薪'],['北京-三里河'],['本科及以上'],['3年以上'],2020年04月03日,1、定期汇总统计运营及收入数据的情况，出具经营数据报告2、负责经营数据汇总，经营指标跟踪，跟进过程中的经营情况，为经营分析及总结提供支持3、沟通协调各部门，梳理完善管理报表体系，监督分析业务数据指标的执行情况及预算执行情况，做好过程管控4、负责业务部门日常数据整理、核对、分析、反馈以及内部核算5、其它经营、财务相关事宜,一、教育背景,"['500', '999']"
293,北京市海淀区精华培训学校,教育/培训/学术/科研/院校,商业数据分析师,['15-30k·12薪'],['北京'],['统招本科'],['5年以上'],2020年04月03日,1、负责项目的需求调研、数据分析、商业分析和数据挖掘，构建各种数据分析模型，不断提高采集数据和分析数据的针对性；2、根据业务需求，定期输出标准化数据分析报告，对分析结果提出问题，并提供数据支撑建议；3、整理编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，为业务发展提供决策支持；4、结合业务，挖掘用户行为特征等信息，为运营和产品改进提供数据支持和可落地的优化方案并执行；5、参与用户分群、用户价值、用户生命周期等数据研究，并通过精细化运营等手段实现用户活跃度和付费转化的提升；6、完成上级领导安排的各项工作。,1、全日制统招本科及以上学历，统计学、数学、计算机、数理统计、数据挖掘专业方向优先；2、有一定的数据统计和数据挖掘专业知识，具备利用数据分析解决业务问题的能力；3、3年以上同行业工作经验；4、使用Python或SAS进行数据分析经验者优先；5、熟练使用数理统计、数据分析软件。,"['500', '999']"
294,京东数字科技控股有限公司,基金/证券/期货/投资,数据分析高级经理,['面议'],['北京'],['统招本科'],['5年以上'],2020年04月03日,"1、利用用户洞察理解和数据分析,规划和设计可利用数据挖掘、数据分析等技术实现的广告产品的定向和量化能力； 2、制作产品原型，把握产品细节，确保产品设计的高可用性及良好的用户体验； 3、理解和分析数据，负责业务范围的数据规划；4、协调各方资源推进并完成数据产品的设计、开发、推广； 5、为客户提供有洞察力的数据分析结果。",1、本科或以上学历， 3年以上数据分析工作经验； 2、2年以上的客户服务经历，了解客户对数据的真实需求； 3、良好的沟通能力和协调能力。,"['2000', '5000']"
295,尚德机构,在线教育,数据分析师,['20-35k·12薪'],['北京-来广营'],['统招本科'],['5年以上'],2020年04月03日,1.梳理并优化现有数据分析的内容、流程和机制，不断提升数据质量，挖掘数据价值；2.结合公司现状，搭建人力数据和业务数据综合分析模型；3.配合完成月度、季度、年度人力数据分析报告等日常数据运维；4.支持对接重点项目，编制PPT，提供支持和建议；5.对行业、竞争对手等进行相关数据整合和研究分析，提供外部对标及观点。,1.数学、统计学历背景优先；2.5年以上工作经验，有成本、财务分析经验的优先，会搭模型；3.性格开朗，情商高。,['10000']
296,北京蛙鸣华清环保科技有限公司,环保,高级数据分析师（环保大气）,['15-25k·12薪'],['北京-朝阳区'],['硕士及以上'],['2年以上'],2020年04月03日,1、负责公司大气数据分析业务产品的开发指导，数据可视化方案的构建；2、负责处理客户的现场咨询、环境分析研判指导、数据分析指导、专家会商等需求；3、负责区域大气污染成因分析指导及分析报告模板编制；4、负责协助重要项目实施的技术指导和技术支撑工作。,1、大气科学、环境科学、大气物理或气象等相关专业博士，或硕士特别优秀者；2、掌握大气污染理论，对污染扩散模型、污染预警、污染溯源等技术有实践经验；3、对环保业务部门（包括环保局、监测站、环科院等）的具体工作了解，有相关工作经验者优先；4、要求创新能力强，善于利用新方法新工具解决新问题；5、具有较强的逻辑分析能力和文字表达能力，善于和人交流。,"['50', '99']"
297,完美,游戏产业,数据分析师,['面议'],['北京-朝阳区'],['学历不限'],['2年以上'],2020年04月03日,】1、 搭建常用数据框架模板并进行数据的维护和提取。2、 进行数据深入研究，对课题性问题进行数据的支持挖掘及分析3、 手游产品的运营推广效果分析，以及效果优化改进方案提出4、 数据报告的汇报（日报、月报、年报）以及针对性报告的数据分析产出。【,】1、 数据、统计学专业毕业优先2、 熟悉SQL语言以及数据程序交互语言，并具有搭建数据模型能力3、 负责并参与游戏产品上线、推广、资料片的全程数据分析者优先4、 喜欢玩端游或者手游（卡牌类或者MMO类）,"['5000', '10000']"
298,某银行股份有限公司,,数据分析岗,['25-35k·14薪'],['北京'],['统招本科'],['3年以上'],2020年04月03日,,,[]
299,上市企业,,数据产品经理/数据分析,['15-30k·12薪'],['北京'],['统招本科'],['3年以上'],2020年04月03日,,,[]
300,知名互联网金融公司,,资深数据分析,['20-40k·15薪'],['北京-海淀区'],['统招本科'],['2年以上'],2020年04月03日,,,[]
301,某大型上市公司,,数据分析,['40-55k·12薪'],['北京'],['本科及以上'],['1年以上'],2020年04月03日,,,[]
302,知名在线教育互联网公司,,高级商业数据分析师,['30-50k·15薪'],['北京'],['本科及以上'],['5年以上'],2020年04月03日,,,[]
303,某知名互联网公司,,数据分析专家/高级专家（决策支持）,['30-60k·16薪'],"['北京,上海,杭州']",['统招本科'],['6年以上'],2020年04月03日,,,[]
304,寄云鼎城科技,计算机软件,数据分析师,['10-20k·12薪'],['北京-上地'],['本科及以上'],['1年以上'],2020年04月03日,1. 针对实际数据和业务诉求，能抽象业务问题中的分析主题，采集和整理需求说明书；2. 进行算法和模型的设计，给出解决方案。根据数据模型设计和开发规范，使用数据分析工具，实现建模和分析任务，形成业务模型，及相关的文档；3. 能配合行业化销售、售前团队，支撑典型分析案例的推广；配合产品研发、交付团队，支撑算法、模型和应用产品的开发和交付能力。,1.物理、数学、计算机、统计学、控制、自动化、测控、仪器仪表、石油、新能源等相关理工科专业背景，并对工业领域的业务知识和数据具有较强的自主学习能力和意愿；2.具有工业数据的挖掘、建模、分析等项目经验1年以上，有故障检测与诊断、测量、设备预测性维护、设备健康管理相关经验优先；3.精通机器学习、模式识别、信号处理、多元统计分析等的原理及主要算法，至少熟练使用Python/R/Matlab、SQL、linux/Shell等其中两门编程语言。熟悉数据建模的流程，并有很好的代码开发能力和执行力，对分析结果有清晰的解释能力；4. 具有良好的逻辑分析、沟通和文字表达能力，能结合业务场景、分析需求和数据，给出解决思路和方案；5. 需要具备很强的责任心，做事细致严谨高效，善于团队协作。,"['100', '499']"
305,知名网络安全企业,,安全数据分析师,['15-25k·15薪'],['北京'],['统招本科'],['5年以上'],2020年04月03日,,,[]
306,头条,,数据分析,['25-35k·12薪'],['北京'],['学历不限'],['2年以上'],2020年04月03日,,,[]
307,国内知名上市互联网公司,,数据分析专家,['40-70k·20薪'],"['北京,杭州,深圳']",['统招本科'],['7年以上'],2020年04月03日,,,[]
308,某卫星导航公司,,高级数据分析工程师,['25-30k·13薪'],['北京-海淀区'],['硕士及以上'],['5年以上'],2020年04月03日,,,[]
